ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen.x,date.x,logger.site,logger.position,depth,site.total.depth,logger.type,latitude,longitude,dissolved.oxygen.y,temperature,logger.id,date.y,time,day.night,quarterly,dT,dz,mid_depth,abs_dT,dTdz,resolvable,depth_diff
22,2021-07-29T00:10:00Z,14.236,blue.ruin,0.818115942028985,2.90723320158103,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.748,20659256,2021-07-29,NA,NA,NA,-4.968000000000002,0.44999999999999996,0.725,4.968000000000002,-11.040000000000004,TRUE,0.09311594202898499
31,2021-07-29T00:10:00Z,15.175,blue.ruin,0.733061594202899,3.17631422924901,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.748,20659256,2021-07-29,NA,NA,NA,-4.968000000000002,0.44999999999999996,0.725,4.968000000000002,-11.040000000000004,TRUE,0.00806159420289898
7,2021-07-29T00:15:00Z,13.955,blue.ruin,0.841670024174053,2.82498992747784,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.724,20659256,2021-07-29,NA,NA,NA,-4.964,0.44999999999999996,0.725,4.964,-11.031111111111112,TRUE,0.11667002417405303
10,2021-07-29T00:15:00Z,12.602,blue.ruin,1.00337837837838,2.55911655405405,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.5,12.76,21063701,2021-07-29,NA,NA,NA,-0.44399999999999906,0.15000000000000013,1.025,0.44399999999999906,-2.959999999999991,TRUE,0.021621621621619846
13,2021-07-29T00:15:00Z,15.168,norwood,0.814554140127389,3.62100318471337,2021-07-29,norwood.mouth,mid.do,0.85,1.65,hobo.onset.do,44.384152,-123.236857,3.263,14.797,931632,2021-07-29,0:16,night,1,-0.5070000000000014,0.15000000000000002,0.925,0.5070000000000014,-3.380000000000009,TRUE,0.11044585987261102
16,2021-07-29T00:15:00Z,13.902,norwood,1.1391235059761,3.56947091633466,2021-07-29,norwood.mouth,mid.low.temp,1,1.65,hobo.onset.temp,44.384152,-123.236857,NA,14.29,20659263,2021-07-29,0:15,night,1,-1.254999999999999,0.44999999999999996,1.225,1.254999999999999,-2.788888888888887,TRUE,0.08587649402390007
17,2021-07-29T00:15:00Z,16.322,blue.ruin,0.627095084609186,3.46871474617244,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.724,20659256,2021-07-29,NA,NA,NA,-4.964,0.44999999999999996,0.725,4.964,-11.031111111111112,TRUE,0.09790491539081403
21,2021-07-29T00:15:00Z,15.589,blue.ruin,0.693543513295729,3.26936946011281,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.724,20659256,2021-07-29,NA,NA,NA,-4.964,0.44999999999999996,0.725,4.964,-11.031111111111112,TRUE,0.031456486704270925
30,2021-07-29T00:15:00Z,15.232,blue.ruin,0.725906526994359,3.17228041901692,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.724,20659256,2021-07-29,NA,NA,NA,-4.964,0.44999999999999996,0.725,4.964,-11.031111111111112,TRUE,9.065269943590026e-4
2,2021-07-29T00:20:00Z,12.375,norwood,1.55,3.77,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.77,13.018,215432,2021-07-29,0:21,night,1,-0.07399999999999984,0.050000000000000044,1.475,0.07399999999999984,-1.4799999999999955,FALSE,0.07499999999999996
4,2021-07-29T00:20:00Z,12.375,norwood,1.55,3.77,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.77,13.018,215432,2021-07-29,0:21,night,1,-0.07399999999999984,0.050000000000000044,1.475,0.07399999999999984,-1.4799999999999955,FALSE,0.07499999999999996
5,2021-07-29T00:20:00Z,14.25,blue.ruin,0.812365809195868,2.94299040639328,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.936999999999999,0.44999999999999996,0.725,4.936999999999999,-10.97111111111111,TRUE,0.087365809195868
8,2021-07-29T00:20:00Z,16.847,blue.ruin,0.575653230706907,3.80806728414385,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.936999999999999,0.44999999999999996,0.725,4.936999999999999,-10.97111111111111,TRUE,0.14934676929309298
15,2021-07-29T00:20:00Z,13.211,blue.ruin,0.907069070285598,2.59689303404718,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.44,12.74,21063701,2021-07-29,NA,NA,NA,-0.4480000000000004,0.15000000000000013,1.025,0.4480000000000004,-2.986666666666667,TRUE,0.11793092971440189
18,2021-07-29T00:20:00Z,13.368,norwood,1.32379807692308,3.657890625,2021-07-29,norwood.mouth,mid.low.temp,1,1.65,hobo.onset.temp,44.384152,-123.236857,NA,14.266,20659263,2021-07-29,0:20,night,1,-1.2479999999999993,0.44999999999999996,1.225,1.2479999999999993,-2.773333333333332,TRUE,0.09879807692307985
22,2021-07-29T00:20:00Z,14.236,blue.ruin,0.813641887786105,2.93832691918169,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.936999999999999,0.44999999999999996,0.725,4.936999999999999,-10.97111111111111,TRUE,0.08864188778610504
23,2021-07-29T00:20:00Z,13.499,blue.ruin,0.880818310715009,2.69282762811424,2021-07-29,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.44,12.74,21063701,2021-07-29,NA,NA,NA,-0.4480000000000004,0.15000000000000013,1.025,0.4480000000000004,-2.986666666666667,TRUE,0.14418168928499087
31,2021-07-29T00:20:00Z,15.05,blue.ruin,0.739447032610897,3.2094753899129,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.677,20659256,2021-07-29,NA,NA,NA,-4.936999999999999,0.44999999999999996,0.725,4.936999999999999,-10.97111111111111,TRUE,0.01444703261089697
6,2021-07-29T00:25:00Z,12.25,norwood,1.55,3.683,2021-07-29,norwood.mouth,bottom.do,1.45,1.65,minidot.do,44.384152,-123.236857,3.683,13,215432,2021-07-29,0:26,night,1,-0.08000000000000007,0.050000000000000044,1.475,0.08000000000000007,-1.6,FALSE,0.07499999999999996
7,2021-07-29T00:25:00Z,14.268,blue.ruin,0.808787755929455,2.91755413449312,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.653,20659256,2021-07-29,NA,NA,NA,-4.932999999999998,0.44999999999999996,0.725,4.932999999999998,-10.962222222222218,TRUE,0.08378775592945498
11,2021-07-29T00:25:00Z,14.599,blue.ruin,0.778593148185688,3.01966680795385,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.653,20659256,2021-07-29,NA,NA,NA,-4.932999999999998,0.44999999999999996,0.725,4.932999999999998,-10.962222222222218,TRUE,0.053593148185688055
13,2021-07-29T00:25:00Z,15.481,norwood,0.780375099760575,3.81373024740623,2021-07-29,norwood.mouth,mid.do,0.85,1.65,hobo.onset.do,44.384152,-123.236857,3.114,14.754,931632,2021-07-29,0:26,night,1,-0.5119999999999987,0.15000000000000002,0.925,0.5119999999999987,-3.4133333333333242,TRUE,0.1446249002394251
14,2021-07-29T00:25:00Z,14.253,norwood,0.99677734375,3.25319384765625,2021-07-29,norwood.mouth,mid.do,0.85,1.65,hobo.onset.do,44.384152,-123.236857,3.114,14.754,931632,2021-07-29,0:26,night,1,-0.5119999999999987,0.15000000000000002,0.925,0.5119999999999987,-3.4133333333333242,TRUE,0.07177734375
21,2021-07-29T00:25:00Z,16.216,blue.ruin,0.631086559902696,3.51850727014725,2021-07-29,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.653,20659256,2021-07-29,NA,NA,NA,-4.932999999999998,0.44999999999999996,0.725,4.932999999999998,-10.962222222222218,TRUE,0.09391344009730396
