ibutton,date.time,ibutton.temp,site,fish_depth,dissolved.oxygen,date
7,2021-07-29T00:50:00Z,14.205,blue.ruin,0.817113485184439,2.82275329387404,2021-07-29
10,2021-07-29T00:50:00Z,12.539,blue.ruin,1.01729910714286,2.54049581473214,2021-07-29
13,2021-07-29T00:50:00Z,14.98,norwood,0.820661090558147,3.12696139617179,2021-07-29
21,2021-07-29T00:50:00Z,16.592,blue.ruin,0.600594638177787,3.39751241501897,2021-07-29
5,2021-07-29T00:55:00Z,14.562,blue.ruin,0.78278192455114,2.93388798210061,2021-07-29
8,2021-07-29T00:55:00Z,15.031,blue.ruin,0.740205769618721,3.04690832064849,2021-07-29
15,2021-07-29T00:55:00Z,12.835,blue.ruin,0.939560217873714,2.51771287618978,2021-07-29
16,2021-07-29T00:55:00Z,13.839,norwood,1.11006914433881,2.99861149524633,2021-07-29
17,2021-07-29T00:55:00Z,16.573,blue.ruin,0.600221908412346,3.41850184312359,2021-07-29
18,2021-07-29T00:55:00Z,13.243,norwood,1.34187554019015,3.14889930855661,2021-07-29
23,2021-07-29T00:55:00Z,14.25,blue.ruin,0.811105507363325,2.85870174409008,2021-07-29
30,2021-07-29T00:55:00Z,13.852,blue.ruin,0.847236231591688,2.76279109432024,2021-07-29
31,2021-07-29T00:55:00Z,15.175,blue.ruin,0.727133346782328,3.08160966126873,2021-07-29
6,2021-07-29T01:00:00Z,14,norwood,1.03775684931507,2.88517123287671,2021-07-29
11,2021-07-29T01:00:00Z,15.412,blue.ruin,0.704792043399638,3.33491533782673,2021-07-29
13,2021-07-29T01:00:00Z,15.919,norwood,0.751468189233279,3.7246264274062,2021-07-29
14,2021-07-29T01:00:00Z,15.38,norwood,0.795432300163132,3.29421778140294,2021-07-29
21,2021-07-29T01:00:00Z,15.84,blue.ruin,0.666094032549729,3.47141377609732,2021-07-29
22,2021-07-29T01:00:00Z,14.486,blue.ruin,0.788517179023508,3.03959395035344,2021-07-29
5,2021-07-29T01:05:00Z,13.688,blue.ruin,0.860236220472441,2.84089477451682,2021-07-29
7,2021-07-29T01:05:00Z,14.33,blue.ruin,0.8019079345851,3.06890534662188,2021-07-29
8,2021-07-29T01:05:00Z,15.907,blue.ruin,0.65863113264688,3.62898739056219,2021-07-29
10,2021-07-29T01:05:00Z,12.539,blue.ruin,1.00919117647059,2.54815533088235,2021-07-29
15,2021-07-29T01:05:00Z,12.835,blue.ruin,0.937734706238643,2.53794614833985,2021-07-29
16,2021-07-29T01:05:00Z,13.839,norwood,1.1083829787234,2.95210468085106,2021-07-29
17,2021-07-29T01:05:00Z,17.136,blue.ruin,0.546971532404603,4.065474918782,2021-07-29
23,2021-07-29T01:05:00Z,14.313,blue.ruin,0.803452453058752,3.0628676834976,2021-07-29
30,2021-07-29T01:05:00Z,14.354,blue.ruin,0.799727437916414,3.07742910632674,2021-07-29
6,2021-07-29T01:10:00Z,13.812,norwood,1.11528925619835,2.88559090909091,2021-07-29
11,2021-07-29T01:10:00Z,15.099,blue.ruin,0.730046474035159,3.07987325263139,2021-07-29
14,2021-07-29T01:10:00Z,15.13,norwood,0.808555071762619,3.16567042950062,2021-07-29
18,2021-07-29T01:10:00Z,13.243,norwood,1.32690082644628,2.98257954545455,2021-07-29
22,2021-07-29T01:10:00Z,14.236,blue.ruin,0.808516872095373,2.86586307610353,2021-07-29
31,2021-07-29T01:10:00Z,15.175,blue.ruin,0.723135987068095,3.09872003526883,2021-07-29
7,2021-07-29T01:15:00Z,14.08,blue.ruin,0.823394495412844,2.75075896580484,2021-07-29
10,2021-07-29T01:15:00Z,12.539,blue.ruin,1.00590277777778,2.50247135416667,2021-07-29
13,2021-07-29T01:15:00Z,15.23,norwood,0.799644358228257,3.21135868628085,2021-07-29
16,2021-07-29T01:15:00Z,13.964,norwood,1.0429314830876,2.79056136166522,2021-07-29
17,2021-07-29T01:15:00Z,16.322,blue.ruin,0.617706422018349,3.25562969140951,2021-07-29
21,2021-07-29T01:15:00Z,15.652,blue.ruin,0.679174311926606,3.1047539616347,2021-07-29
30,2021-07-29T01:15:00Z,13.978,blue.ruin,0.832752293577982,2.72778982485405,2021-07-29
5,2021-07-29T01:20:00Z,14.25,blue.ruin,0.806422396047756,2.79892323814514,2021-07-29
8,2021-07-29T01:20:00Z,15.97,blue.ruin,0.647097571016879,3.16392192821588,2021-07-29
15,2021-07-29T01:20:00Z,12.835,blue.ruin,0.93749485384932,2.49864815299974,2021-07-29
22,2021-07-29T01:20:00Z,14.486,blue.ruin,0.784561547962124,2.8490044537595,2021-07-29
23,2021-07-29T01:20:00Z,15.001,blue.ruin,0.736856731165088,2.95829185223998,2021-07-29
31,2021-07-29T01:20:00Z,14.987,blue.ruin,0.73815356113627,2.95532093266964,2021-07-29
6,2021-07-29T01:25:00Z,13.875,norwood,1.05120967741936,2.70816330645161,2021-07-29
7,2021-07-29T01:25:00Z,14.768,blue.ruin,0.759508061182307,2.9937678980796,2021-07-29
11,2021-07-29T01:25:00Z,15.225,blue.ruin,0.717000826787929,3.11510673080537,2021-07-29
13,2021-07-29T01:25:00Z,15.606,norwood,0.7488185790581,3.65942434050817,2021-07-29
