"hour","depth","temperature","dissolved.oxygen","temp.fact","do.fact","WQI"
19,1,14.5,3.1,0.75,0.08,0.24
20,1,13.8,3.2,0.82,0.1,0.29
21,1,13.2,2.9,0.87,0.06,0.23
22,1,12.9,2.7,0.9,0.03,0.16
23,1,12.8,2.6,0.91,0.01,0.1
0,1,12.7,2.6,0.92,0.01,0.1
1,1,12.6,2.5,0.93,0,0
2,1,12.5,2.5,0.94,0,0
3,1,12.5,2.5,0.94,0,0
4,1,12.5,2.5,0.94,0,0
5,1,12.3,2.5,0.96,0,0
6,1,12.3,2.5,0.96,0,0
7,1.2,12.1,2.9,0.98,0.06,0.24
8,1.2,12.3,3.8,0.96,0.18,0.42
9,1.2,12.6,4.2,0.93,0.24,0.47
10,1.2,13.2,4.7,0.87,0.31,0.52
11,1.2,13.6,5.3,0.84,0.39,0.57
12,1.2,13.8,5.4,0.82,0.41,0.58
13,1.2,13.8,5.7,0.82,0.45,0.61
14,1.2,13.9,5.7,0.81,0.45,0.6
15,1.2,13.8,5.4,0.82,0.41,0.58
16,1.2,13.8,5.2,0.82,0.38,0.56
17,1.2,13.6,4.9,0.84,0.34,0.53
18,1.2,13.5,4.1,0.85,0.23,0.44
19,1.2,13.1,3.3,0.88,0.11,0.31
20,1.2,12.9,3.3,0.9,0.11,0.31
21,1.2,12.7,3,0.92,0.07,0.25
22,1.2,12.5,2.9,0.94,0.06,0.24
23,1.2,12.4,2.8,0.95,0.04,0.19
0,1.2,12.4,2.7,0.95,0.03,0.17
1,1.2,12.3,2.7,0.96,0.03,0.17
2,1.2,12.3,2.7,0.96,0.03,0.17
3,1.2,12.2,2.7,0.97,0.03,0.17
4,1.2,12.2,2.7,0.97,0.03,0.17
5,1.2,12.2,2.7,0.97,0.03,0.17
6,1.2,12.1,2.7,0.98,0.03,0.17
7,1.4,12,3,0.99,0.07,0.26
8,1.4,12.1,3.6,0.98,0.15,0.38
9,1.4,12.5,4.1,0.94,0.23,0.46
10,1.4,13,4.5,0.89,0.28,0.5
11,1.4,13.3,4.8,0.87,0.32,0.53
12,1.4,13.5,4.8,0.85,0.32,0.52
13,1.4,13.6,4.9,0.84,0.34,0.53
14,1.4,13.7,4.6,0.83,0.3,0.5
15,1.4,13.7,4.4,0.83,0.27,0.47
16,1.4,13.6,4.2,0.84,0.24,0.45
17,1.4,13.4,3.9,0.86,0.2,0.41
18,1.4,13.3,3.7,0.87,0.17,0.38
19,1.4,13,3.4,0.89,0.13,0.34
20,1.4,12.8,3.3,0.91,0.11,0.32
21,1.4,12.6,3.1,0.93,0.08,0.27
22,1.4,12.5,3,0.94,0.07,0.26
23,1.4,12.4,2.9,0.95,0.06,0.24
0,1.4,12.3,2.9,0.96,0.06,0.24
1,1.4,12.2,2.8,0.97,0.04,0.2
2,1.4,12.2,2.8,0.97,0.04,0.2
3,1.4,12.1,2.8,0.98,0.04,0.2
4,1.4,12.1,2.8,0.98,0.04,0.2
5,1.4,12.1,2.8,0.98,0.04,0.2
6,1.4,12,2.8,0.99,0.04,0.2
7,1.6,11.9,3,1,0.07,0.26
8,1.6,12.1,3.6,0.98,0.15,0.38
9,1.6,12.4,4.1,0.95,0.23,0.47
10,1.6,12.8,4.5,0.91,0.28,0.5
11,1.6,13.1,4.8,0.88,0.32,0.53
12,1.6,13.3,4.8,0.87,0.32,0.53
13,1.6,13.4,4.9,0.86,0.34,0.54
14,1.6,13.5,4.6,0.85,0.3,0.5
15,1.6,13.6,4.4,0.84,0.27,0.48
16,1.6,13.5,4.2,0.85,0.24,0.45
17,1.6,13.2,3.9,0.87,0.2,0.42
18,1.6,13.1,3.7,0.88,0.17,0.39
19,1.6,12.9,3.4,0.9,0.13,0.34
20,1.6,12.7,3.3,0.92,0.11,0.32
21,1.6,12.6,3.1,0.93,0.08,0.27
22,1.6,12.4,3,0.95,0.07,0.26
23,1.6,12.3,2.9,0.96,0.06,0.24
0,1.6,12.2,2.9,0.97,0.06,0.24
1,1.6,12.2,2.8,0.97,0.04,0.2
2,1.6,12.1,2.8,0.98,0.04,0.2
3,1.6,12.1,2.8,0.98,0.04,0.2
4,1.6,12,2.8,0.99,0.04,0.2
5,1.6,12,2.8,0.99,0.04,0.2
6,1.6,12,2.8,0.99,0.04,0.2
