"Window","Model","AIC","edf","deltaAIC"
"DO-maxima (high)","Both (bivariate)",310.674131853435,8.40280032165257,0
"DO-maxima (high)","Temperature only",346.117226445877,3.34176029842534,35.4430945924416
"DO-maxima (high)","DO only",351.414813479699,2.61506798571191,40.7406816262641
"DO-minima (low)","Both (bivariate)",320.1968370089,13.7206511232266,0
"DO-minima (low)","Temperature only",357.047168072882,5.81667293305182,36.8503310639823
"DO-minima (low)","DO only",431.809384372188,0.959105513999241,111.612547363288
