"Window","Model","AIC","edf","deltaAIC"
"DO-maxima (high)","Both (bivariate)",203.401343077478,10.5473394952819,0
"DO-maxima (high)","Temperature only",221.837716311601,3.87648473554047,18.4363732341234
"DO-maxima (high)","DO only",375.958838691323,3.46125368650566,172.557495613845
"DO-minima (low)","Temperature only",401.206546709757,6.85538572600532,0
"DO-minima (low)","Both (bivariate)",422.813474005378,2.29035381425085,21.6069272956212
"DO-minima (low)","DO only",443.65172340637,1.06030050763028,42.4451766966131
