"Window","Model","AICp","edf","deltaAICp"
"DO-maxima (high)","Both (bivariate)",42.2909645000748,5.51619415467745,0
"DO-maxima (high)","Temperature only",45.4358997168398,4.0985927060455,3.14493521676505
"DO-maxima (high)","DO only",200.642729603233,4.49174111088474,158.351765103159
"DO-minima (low)","Both (bivariate)",130.301740860149,5.45233044450728,0
"DO-minima (low)","Temperature only",140.3055879782,3.84159303229993,10.0038471180503
"DO-minima (low)","DO only",141.248735478014,4.34229798761225,10.9469946178646
