"Window","Model","AICp","edf","deltaAICp"
"DO-maxima (high)","Temperature only",337.142255940404,4.44125385550669,0
"DO-maxima (high)","Both (bivariate)",339.085181721659,7.8327887170012,1.94292578125533
"DO-maxima (high)","DO only",810.034477721641,4.49078662449198,472.892221781237
"DO-minima (low)","Both (bivariate)",658.394829109513,8.40154796556915,0
"DO-minima (low)","Temperature only",670.393898874046,5.21459403012551,11.9990697645329
"DO-minima (low)","DO only",736.87855840852,4.34962762974613,78.4837292990062
