"Window","Model","AIC","edf","deltaAIC"
"DO-maxima (high)","Temperature only",232.635340692275,4.50708256815522,0
"DO-maxima (high)","Both (bivariate)",237.922439140975,9.36865730373534,5.28709844870016
"DO-maxima (high)","DO only",346.869508800148,2.69058731038523,114.234168107873
"DO-minima (low)","Temperature only",402.970944517974,6.08117267702286,0
"DO-minima (low)","Both (bivariate)",405.189825797719,9.8197355355052,2.21888127974523
"DO-minima (low)","DO only",435.732934968685,4.6080698482384,32.7619904507118
