"Window","Model","AIC","edf","deltaAIC"
"DO-maxima (high)","Both (bivariate)",120.796013505457,5.87153485305463,0
"DO-maxima (high)","Temperature only",133.714077005517,3.4624617366834,12.9180635000601
"DO-maxima (high)","DO only",203.892003030991,3.1232003176184,83.0959895255344
"DO-minima (low)","Both (bivariate)",159.835366332987,2.44267408942901,0
"DO-minima (low)","Temperature only",166.520719242843,3.4063278347336,6.68535290985503
"DO-minima (low)","DO only",178.437515552257,3.27309564328994,18.6021492192695
