"Window","Model","AIC","edf","deltaAIC"
"DO-maxima (high)","Both (bivariate)",429.489253400447,10.0460385175738,0
"DO-maxima (high)","Temperature only",617.616637496109,3.8069069998334,188.127384095661
"DO-maxima (high)","DO only",1049.04456197744,4.10979083928649,619.555308576988
"DO-minima (low)","Both (bivariate)",767.874269800919,12.4532092618374,0
"DO-minima (low)","Temperature only",835.676198924907,4.66177151629177,67.8019291239888
"DO-minima (low)","DO only",890.698913360667,4.132402511744,122.824643559749
