ibutton,date.time,time,hour,ibutton.temp,site,fish.depth,dissolved.oxygen
16,7/25/2021 0:05,0:05,0,15.717,norwood.mouth,0.828165778,6.828258408
16,7/25/2021 0:15,0:15,0,15.404,norwood.mouth,0.849457308,6.637098137
16,7/25/2021 0:30,0:30,0,15.154,norwood.mouth,0.846879875,6.470966199
16,7/25/2021 0:40,0:40,0,15.029,norwood.mouth,0.911137441,5.987094787
16,7/25/2021 0:55,0:55,0,15.342,norwood.mouth,0.838178399,6.184925846
16,7/25/2021 1:05,1:05,1,15.154,norwood.mouth,0.858901515,5.97347459
16,7/25/2021 1:15,1:15,1,15.467,norwood.mouth,0.816041778,6.108979646
16,7/25/2021 1:30,1:30,1,15.592,norwood.mouth,0.805892857,6.06307128
16,7/25/2021 1:40,1:40,1,16.218,norwood.mouth,0.745315827,6.314042702
16,7/25/2021 1:55,1:55,1,15.467,norwood.mouth,0.815872156,5.84034182
16,7/25/2021 2:05,2:05,2,15.717,norwood.mouth,0.792045035,5.914155654
16,7/25/2021 2:15,2:15,2,15.529,norwood.mouth,0.818957032,5.72283898
16,7/25/2021 2:30,2:30,2,15.091,norwood.mouth,0.839032722,5.446147519
16,7/25/2021 2:40,2:40,2,15.279,norwood.mouth,0.818694799,5.453121933
16,7/25/2021 2:55,2:55,2,14.966,norwood.mouth,0.842396482,5.259057866
16,7/25/2021 3:05,3:05,3,14.903,norwood.mouth,0.836434814,5.224827658
16,7/25/2021 3:15,3:15,3,15.342,norwood.mouth,0.795935869,5.397328797
16,7/25/2021 3:30,3:30,3,15.279,norwood.mouth,0.799188491,5.308077631
16,7/25/2021 3:40,3:40,3,15.216,norwood.mouth,0.802079897,5.250825957
16,7/25/2021 3:55,3:55,3,15.029,norwood.mouth,0.814481875,5.072389845
16,7/25/2021 4:05,4:05,4,15.279,norwood.mouth,0.793948689,5.095594255
16,7/25/2021 4:15,4:15,4,15.154,norwood.mouth,0.805394761,5.033165659
16,7/25/2021 4:30,4:30,4,15.342,norwood.mouth,0.783944254,5.121769887
16,7/25/2021 4:40,4:40,4,15.154,norwood.mouth,0.788532776,5.004347331
16,7/25/2021 4:55,4:55,4,14.903,norwood.mouth,0.812532784,4.806136506
16,7/25/2021 5:05,5:05,5,14.716,norwood.mouth,0.824485981,4.714265421
16,7/25/2021 5:15,5:15,5,15.091,norwood.mouth,0.786420434,4.95785324
16,7/25/2021 5:30,5:30,5,15.404,norwood.mouth,0.765112478,4.993325098
16,7/25/2021 5:40,5:40,5,14.966,norwood.mouth,0.80662768,4.635421459
16,7/25/2021 5:55,5:55,5,14.841,norwood.mouth,0.802367841,4.773310435
16,7/25/2021 6:05,6:05,6,14.778,norwood.mouth,0.808898872,4.581054929
16,7/25/2021 6:15,6:15,6,14.653,norwood.mouth,0.812300442,4.67331349
16,7/25/2021 6:30,6:30,6,14.716,norwood.mouth,0.791653934,4.768973039
16,7/25/2021 6:40,6:40,6,15.091,norwood.mouth,0.757309942,4.947413255
16,7/25/2021 6:55,6:55,6,14.903,norwood.mouth,0.766075877,4.727731079
16,7/25/2021 7:05,7:05,7,14.465,norwood.mouth,0.807444783,4.513156083
16,7/25/2021 7:15,7:15,7,15.091,norwood.mouth,0.738965653,5.022359603
16,7/25/2021 7:30,7:30,7,14.716,norwood.mouth,0.770837488,4.851789631
16,7/25/2021 7:40,7:40,7,15.279,norwood.mouth,0.712258953,5.135073921
16,7/25/2021 7:55,7:55,7,15.154,norwood.mouth,0.727348959,5.102160841
16,7/25/2021 8:05,8:05,8,15.091,norwood.mouth,0.726814399,5.10708364
16,7/25/2021 8:15,8:15,8,14.528,norwood.mouth,0.774883087,4.875265101
16,7/25/2021 8:30,8:30,8,15.342,norwood.mouth,0.691406704,5.365020926
16,7/25/2021 8:40,8:40,8,14.966,norwood.mouth,0.736293733,5.129573978
16,7/25/2021 8:55,8:55,8,14.716,norwood.mouth,0.755224315,5.028898718
16,7/25/2021 9:05,9:05,9,15.091,norwood.mouth,0.7205748,5.239564839
16,7/25/2021 9:15,9:15,9,14.528,norwood.mouth,0.780758593,4.933462679
16,7/25/2021 9:30,9:30,9,14.465,norwood.mouth,0.782593506,4.97402699
16,7/25/2021 9:40,9:40,9,14.59,norwood.mouth,0.766005419,5.128069608
16,7/25/2021 9:55,9:55,9,14.089,norwood.mouth,0.834358241,4.866314444
16,7/25/2021 10:05,10:05,10,14.528,norwood.mouth,0.791828758,5.203395958
16,7/25/2021 10:15,10:15,10,13.964,norwood.mouth,0.843492169,5.012873447
16,7/25/2021 10:30,10:30,10,14.089,norwood.mouth,0.836990673,5.01973335
16,7/25/2021 10:40,10:40,10,14.277,norwood.mouth,0.820216822,5.143444127
16,7/25/2021 10:55,10:55,10,15.342,norwood.mouth,0.728081279,5.78314457
16,7/25/2021 11:05,11:05,11,13.964,norwood.mouth,0.88953271,4.842148131
16,7/25/2021 11:15,11:15,11,14.215,norwood.mouth,0.845393005,5.140247446
16,7/25/2021 11:30,11:30,11,14.903,norwood.mouth,0.793181818,5.639255682
16,7/25/2021 11:40,11:40,11,14.215,norwood.mouth,0.907142857,5.246404762
16,7/25/2021 11:55,11:55,11,14.403,norwood.mouth,0.946484375,5.229678385
16,7/25/2021 12:05,12:05,12,14.59,norwood.mouth,0.843913188,5.773142026
16,7/25/2021 12:15,12:15,12,14.403,norwood.mouth,0.889597315,5.660505593
16,7/25/2021 12:30,12:30,12,14.716,norwood.mouth,0.843192957,6.020986613
16,7/25/2021 12:40,12:40,12,14.152,norwood.mouth,1.03712036,5.231300619
16,7/25/2021 12:55,12:55,12,14.215,norwood.mouth,1.06199187,5.321850271
16,7/25/2021 13:05,13:05,13,14.778,norwood.mouth,0.866093117,6.314351215
16,7/25/2021 13:15,13:15,13,14.152,norwood.mouth,1.124465812,5.399163907
16,7/25/2021 13:30,13:30,13,14.778,norwood.mouth,0.914864865,6.537972973
16,7/25/2021 13:40,13:40,13,15.842,norwood.mouth,0.769466764,7.234283145
16,7/25/2021 13:55,13:55,13,16.406,norwood.mouth,0.742717236,7.379322917
16,7/25/2021 14:05,14:05,14,15.655,norwood.mouth,0.808397272,7.232608127
16,7/25/2021 14:15,14:15,14,15.842,norwood.mouth,0.796778479,7.361168964
16,7/25/2021 14:30,14:30,14,16.155,norwood.mouth,0.788264059,7.533488896
16,7/25/2021 14:40,14:40,14,16.593,norwood.mouth,0.777900893,7.71659753
16,7/25/2021 14:55,14:55,14,15.342,norwood.mouth,0.913942857,7.497565
16,7/25/2021 15:05,15:05,15,15.404,norwood.mouth,0.902422145,7.701599481
16,7/25/2021 15:15,15:15,15,15.529,norwood.mouth,0.872678571,7.815088393
16,7/25/2021 15:30,15:30,15,14.716,norwood.mouth,1.098096633,7.267434175
16,7/25/2021 15:40,15:40,15,14.778,norwood.mouth,1.135865845,7.222051762
16,7/25/2021 15:55,15:55,15,14.903,norwood.mouth,1.088714938,7.625339123
16,7/25/2021 16:05,16:05,16,14.841,norwood.mouth,1.102155992,7.805892042
16,7/25/2021 16:15,16:15,16,14.841,norwood.mouth,1.097878166,7.900716975
16,7/25/2021 16:30,16:30,16,15.216,norwood.mouth,1.002356902,8.37018729
16,7/25/2021 16:40,16:40,16,14.966,norwood.mouth,1.112219451,8.243473815
16,7/25/2021 16:55,16:55,16,14.841,norwood.mouth,1.154987453,8.290235649
16,7/25/2021 17:05,17:05,17,14.841,norwood.mouth,1.166346749,8.145245201
16,7/25/2021 17:15,17:15,17,14.778,norwood.mouth,1.180708661,8.103389764
16,7/25/2021 17:30,17:30,17,14.903,norwood.mouth,1.172760512,8.415319013
16,7/25/2021 17:40,17:40,17,15.091,norwood.mouth,1.12936459,8.692712909
16,7/25/2021 17:55,17:55,17,15.216,norwood.mouth,1.101955307,8.859844507
16,7/25/2021 18:05,18:05,18,14.966,norwood.mouth,1.179837251,8.807495479
16,7/25/2021 18:15,18:15,18,15.154,norwood.mouth,1.152655625,8.969095588
16,7/25/2021 18:30,18:30,18,15.404,norwood.mouth,1.098989899,9.074124579
16,7/25/2021 18:40,18:40,18,15.154,norwood.mouth,1.173996746,8.95795804
16,7/25/2021 18:55,18:55,18,14.841,norwood.mouth,1.231605752,8.87492136
16,7/25/2021 19:05,19:05,19,15.216,norwood.mouth,1.14521184,8.984056515
16,7/25/2021 19:15,19:15,19,14.59,norwood.mouth,1.29646402,8.690600651
16,7/25/2021 19:30,19:30,19,15.342,norwood.mouth,1.127495953,9.111521317
16,7/25/2021 19:40,19:40,19,14.528,norwood.mouth,1.314974182,8.623606713
16,7/25/2021 19:55,19:55,19,14.653,norwood.mouth,1.285163043,8.463805707
16,7/25/2021 20:05,20:05,20,15.216,norwood.mouth,1.127219626,8.730639311
16,7/25/2021 20:15,20:15,20,15.655,norwood.mouth,0.993088418,8.849287983
16,7/25/2021 20:30,20:30,20,16.969,norwood.mouth,0.866546763,8.974151679
16,7/25/2021 20:40,20:40,20,15.842,norwood.mouth,0.97172619,8.608179315
16,7/25/2021 20:55,20:55,20,16.531,norwood.mouth,0.883611313,8.872980058
16,7/25/2021 21:05,21:05,21,16.531,norwood.mouth,0.867864924,8.656732026
16,7/25/2021 21:15,21:15,21,15.655,norwood.mouth,0.971402878,8.259436601
16,7/25/2021 21:30,21:30,21,14.716,norwood.mouth,1.169778068,7.587409432
16,7/25/2021 21:40,21:40,21,16.593,norwood.mouth,0.839286317,8.448382248
16,7/25/2021 21:55,21:55,21,16.093,norwood.mouth,0.888915094,8.094522995
16,7/25/2021 22:05,22:05,22,16.969,norwood.mouth,0.794529004,8.268904194
16,7/25/2021 22:15,22:15,22,16.906,norwood.mouth,0.78736519,8.258067751
16,7/25/2021 22:30,22:30,22,16.781,norwood.mouth,0.789865433,8.002444421
16,7/25/2021 22:40,22:40,22,16.531,norwood.mouth,0.799519474,7.757470241
16,7/25/2021 22:55,22:55,22,16.969,norwood.mouth,0.755333562,7.748039101
16,7/25/2021 23:05,23:05,23,16.844,norwood.mouth,0.770425235,7.530109359
16,7/25/2021 23:15,23:15,23,16.906,norwood.mouth,0.752296667,7.365260059
16,7/25/2021 23:30,23:30,23,15.404,norwood.mouth,0.918257646,6.402850904
16,7/25/2021 23:40,23:40,23,15.717,norwood.mouth,0.870284698,6.515422598
16,7/25/2021 23:55,23:55,23,15.655,norwood.mouth,0.855417957,6.352531218
16,7/26/2021 0:05,0:05,0,16.406,norwood.mouth,0.772577355,6.62257897
16,7/26/2021 0:15,0:15,0,15.467,norwood.mouth,0.871138996,6.114673986
16,7/26/2021 0:30,0:30,0,15.279,norwood.mouth,0.895742574,5.813660396
16,7/26/2021 0:40,0:40,0,15.467,norwood.mouth,0.854148936,5.896197074
16,7/26/2021 0:55,0:55,0,15.279,norwood.mouth,0.859677419,5.756266129
16,7/26/2021 1:05,1:05,1,16.343,norwood.mouth,0.745125209,6.23323606
16,7/26/2021 1:15,1:15,1,16.093,norwood.mouth,0.774096998,6.004951755
16,7/26/2021 1:30,1:30,1,17.219,norwood.mouth,0.665761153,6.458806978
16,7/26/2021 1:40,1:40,1,16.093,norwood.mouth,0.778498468,5.814828737
16,7/26/2021 1:55,1:55,1,16.969,norwood.mouth,0.699133537,6.11590299
16,7/26/2021 2:05,2:05,2,16.093,norwood.mouth,0.771637931,5.662272198
16,7/26/2021 2:15,2:15,2,16.719,norwood.mouth,0.718206286,5.913067373
16,7/26/2021 2:30,2:30,2,16.093,norwood.mouth,0.771918768,5.501399043
16,7/26/2021 2:40,2:40,2,17.157,norwood.mouth,0.669104991,5.987982358
16,7/26/2021 2:55,2:55,2,16.531,norwood.mouth,0.720286707,5.581427165
16,7/26/2021 3:05,3:05,3,16.406,norwood.mouth,0.728359632,5.52200604
16,7/26/2021 3:15,3:15,3,16.906,norwood.mouth,0.678482328,5.728117983
16,7/26/2021 3:30,3:30,3,17.032,norwood.mouth,0.66215035,5.816589015
16,7/26/2021 3:40,3:40,3,16.093,norwood.mouth,0.738251413,5.344216047
16,7/26/2021 3:55,3:55,3,16.406,norwood.mouth,0.706723063,5.480680024
