ibutton,date.time,time,hour,ibutton.temp,site,fish.depth,dissolved.oxygen
18,7/25/2021 0:10,0:10,0,13.368,norwood.mouth,1.413522238,4.012482156
18,7/25/2021 0:20,0:20,0,13.305,norwood.mouth,1.420779221,3.828063312
18,7/25/2021 0:35,0:35,0,13.494,norwood.mouth,1.346540179,3.957520926
18,7/25/2021 0:45,0:45,0,13.431,norwood.mouth,1.363656885,3.761642212
18,7/25/2021 0:55,0:55,0,15.249,norwood.mouth,0.846507254,6.144114455
18,7/25/2021 1:10,1:10,1,16.753,norwood.mouth,0.679654681,6.849232912
18,7/25/2021 1:20,1:20,1,16.314,norwood.mouth,0.741891892,6.447635135
18,7/25/2021 1:35,1:35,1,16.377,norwood.mouth,0.736490376,6.396817833
18,7/25/2021 1:45,1:45,1,16.252,norwood.mouth,0.747161847,6.260873032
18,7/25/2021 1:55,1:55,1,15.688,norwood.mouth,0.795919104,5.945195107
18,7/25/2021 2:10,2:10,2,16.565,norwood.mouth,0.717335666,6.283671316
18,7/25/2021 2:20,2:20,2,16.941,norwood.mouth,0.674241329,6.504046303
18,7/25/2021 2:35,2:35,2,16.565,norwood.mouth,0.703327172,6.101699399
18,7/25/2021 2:45,2:45,2,17.004,norwood.mouth,0.650980023,6.31748153
18,7/25/2021 2:55,2:55,2,16.064,norwood.mouth,0.741810187,5.788979999
18,7/25/2021 3:10,3:10,3,16.189,norwood.mouth,0.734003831,5.756856242
18,7/25/2021 3:20,3:20,3,17.63,norwood.mouth,0.58890411,6.501825571
18,7/25/2021 3:35,3:35,3,15.124,norwood.mouth,0.809257912,5.231677034
18,7/25/2021 3:45,3:45,3,15.061,norwood.mouth,0.813553944,5.148736174
18,7/25/2021 3:55,3:55,3,15.374,norwood.mouth,0.782900037,5.243458135
18,7/25/2021 4:10,4:10,4,15.437,norwood.mouth,0.771463592,5.211604337
18,7/25/2021 4:20,4:20,4,15.249,norwood.mouth,0.785513845,5.119746268
18,7/25/2021 4:35,4:35,4,15.186,norwood.mouth,0.792751703,4.997352716
18,7/25/2021 4:45,4:45,4,15.625,norwood.mouth,0.75276212,5.141736471
18,7/25/2021 4:55,4:55,4,15.688,norwood.mouth,0.739003372,5.200866898
18,7/25/2021 5:10,5:10,5,15.374,norwood.mouth,0.763235571,5.064752162
18,7/25/2021 5:20,5:20,5,17.505,norwood.mouth,0.563276836,6.182278249
18,7/25/2021 5:35,5:35,5,17.129,norwood.mouth,0.594806556,5.754685979
18,7/25/2021 5:45,5:45,5,16.69,norwood.mouth,0.626405369,5.680118848
18,7/25/2021 5:55,5:55,5,16.126,norwood.mouth,0.684434655,5.424006791
18,7/25/2021 6:10,6:10,6,16.064,norwood.mouth,0.679923034,5.356132157
18,7/25/2021 6:20,6:20,6,16.064,norwood.mouth,0.670740461,5.452162039
18,7/25/2021 6:35,6:35,6,15.813,norwood.mouth,0.687278676,5.347026928
18,7/25/2021 6:45,6:45,6,16.69,norwood.mouth,0.600661876,5.810807536
18,7/25/2021 6:55,6:55,6,16.44,norwood.mouth,0.618825445,5.50190022
18,7/25/2021 7:10,7:10,7,16.628,norwood.mouth,0.581577913,5.790466071
18,7/25/2021 7:20,7:20,7,17.004,norwood.mouth,0.559021345,5.98454608
18,7/25/2021 7:35,7:35,7,16.502,norwood.mouth,0.586955187,5.74785134
18,7/25/2021 7:45,7:45,7,17.192,norwood.mouth,0.517323999,6.268713074
18,7/25/2021 7:55,7:55,7,17.004,norwood.mouth,0.540442514,6.128744494
18,7/25/2021 8:10,8:10,8,16.753,norwood.mouth,0.562144504,5.988130284
18,7/25/2021 8:20,8:20,8,16.126,norwood.mouth,0.620444487,5.743294208
18,7/25/2021 8:35,8:35,8,16.377,norwood.mouth,0.601312601,5.889218245
18,7/25/2021 8:45,8:45,8,16.878,norwood.mouth,0.556559264,6.105668585
18,7/25/2021 8:55,8:55,8,17.192,norwood.mouth,0.514789279,6.356701204
18,7/25/2021 9:10,9:10,9,16.878,norwood.mouth,0.541020087,6.268928318
18,7/25/2021 9:20,9:20,9,16.314,norwood.mouth,0.58960217,6.048265823
18,7/25/2021 9:35,9:35,9,16.69,norwood.mouth,0.547368421,6.330392544
18,7/25/2021 9:45,9:45,9,16.502,norwood.mouth,0.59342223,6.15665451
18,7/25/2021 9:55,9:55,9,16.314,norwood.mouth,0.635484448,6.001883804
18,7/25/2021 10:10,10:10,10,16.314,norwood.mouth,0.619066148,6.273739948
18,7/25/2021 10:20,10:20,10,15.938,norwood.mouth,0.64013837,6.185356194
18,7/25/2021 10:35,10:35,10,15.876,norwood.mouth,0.604811297,6.448985754
18,7/25/2021 10:45,10:45,10,16.44,norwood.mouth,0.563105214,6.627466733
18,7/25/2021 10:55,10:55,10,15.688,norwood.mouth,0.689662447,6.006293952
18,7/25/2021 11:10,11:10,11,15.625,norwood.mouth,0.693872742,6.001387569
18,7/25/2021 11:20,11:20,11,15.5,norwood.mouth,0.729572056,5.869071736
18,7/25/2021 11:35,11:35,11,15.876,norwood.mouth,0.691068778,6.255916378
18,7/25/2021 11:45,11:45,11,16.314,norwood.mouth,0.688203553,6.442279553
18,7/25/2021 11:55,11:55,11,15.688,norwood.mouth,0.744297352,6.265549898
18,7/25/2021 12:10,12:10,12,16.064,norwood.mouth,0.685845411,6.651159903
18,7/25/2021 12:20,12:20,12,16.377,norwood.mouth,0.693575419,6.6345
18,7/25/2021 12:35,12:35,12,16.189,norwood.mouth,0.702825599,6.702210064
18,7/25/2021 12:45,12:45,12,14.559,norwood.mouth,0.895466321,5.916961788
18,7/25/2021 12:55,12:55,12,15.249,norwood.mouth,0.798018831,6.521167778
18,7/25/2021 13:10,13:10,13,16.314,norwood.mouth,0.70935129,7.112329366
18,7/25/2021 13:20,13:20,13,13.807,norwood.mouth,1.334259259,4.649594136
18,7/25/2021 13:35,13:35,13,14.936,norwood.mouth,0.846720117,6.86126731
18,7/25/2021 13:45,13:45,13,15.124,norwood.mouth,0.84085095,6.932750651
18,7/25/2021 13:55,13:55,13,15.562,norwood.mouth,0.817859687,7.071614583
18,7/25/2021 14:10,14:10,14,15.437,norwood.mouth,0.838719254,7.204181156
18,7/25/2021 14:20,14:20,14,15.938,norwood.mouth,0.78850476,7.473102934
18,7/25/2021 14:35,14:35,14,16.064,norwood.mouth,0.80471097,7.551899446
18,7/25/2021 14:45,14:45,14,15.813,norwood.mouth,0.8398038,7.58192461
18,7/25/2021 14:55,14:55,14,15.186,norwood.mouth,0.940685714,7.404745
18,7/25/2021 15:10,15:10,15,14.622,norwood.mouth,1.054569654,7.184841948
18,7/25/2021 15:20,15:20,15,14.936,norwood.mouth,0.985015609,7.446188215
18,7/25/2021 15:35,15:35,15,14.309,norwood.mouth,1.273260073,6.770653541
18,7/25/2021 15:45,15:45,15,14.434,norwood.mouth,1.241414141,6.994148148
18,7/25/2021 15:55,15:55,15,14.936,norwood.mouth,1.077951729,7.657494211
18,7/25/2021 16:10,16:10,16,14.434,norwood.mouth,1.228237792,7.504436837
18,7/25/2021 16:20,16:20,16,14.434,norwood.mouth,1.228433975,7.573649303
18,7/25/2021 16:35,16:35,16,14.371,norwood.mouth,1.273435544,7.695664111
18,7/25/2021 16:45,16:45,16,14.748,norwood.mouth,1.157545272,8.238525402
18,7/25/2021 16:55,16:55,16,15.124,norwood.mouth,1.075094103,8.49070138
18,7/25/2021 17:10,17:10,17,14.622,norwood.mouth,1.237377751,7.918283924
18,7/25/2021 17:20,17:20,17,14.309,norwood.mouth,1.322693351,7.759712263
18,7/25/2021 17:35,17:35,17,14.559,norwood.mouth,1.278645833,8.203522135
18,7/25/2021 17:45,17:45,17,14.873,norwood.mouth,1.185003232,8.60871275
18,7/25/2021 17:55,17:55,17,15.124,norwood.mouth,1.127653631,8.799753259
18,7/25/2021 18:10,18:10,18,14.748,norwood.mouth,1.244471154,8.706401442
18,7/25/2021 18:20,18:20,18,15.124,norwood.mouth,1.161937716,8.977072232
