date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,gap,temp.diff,mainstem.temp,foray
7/30/2021 10:30,11,1,1,0,10.8,44.2333796,-123.1625399,89,80,-2.4,19.103,0
7/30/2021 10:40,11,1,2,0,10,44.2333796,-123.1625399,95,10,-0.8,18.985,0
7/30/2021 15:30,11,1,1,0,10,44.2333796,-123.1625399,86,270,0,19.984,0
7/30/2021 15:40,11,1,1,0.241209076,10.8,44.2333796,-123.1625399,93,10,0.8,19.96,0
7/30/2021 19:50,11,1,1,NA,14,44.2333796,-123.1625399,78,200,3.2,19.936,1
7/30/2021 20:40,11,1,1,NA,12.4,44.2333796,-123.1625399,46,50,-1.6,19.817,0
7/30/2021 22:30,11,3,1,3.375203698,19.6,44.23065,-123.16275,78,60,7.2,19.341,0
7/30/2021 22:40,11,1,1,2.146625258,10,44.2333796,-123.1625399,86,10,-9.6,19.318,0
7/31/2021 2:00,11,1,1,NA,13.2,44.2333796,-123.1625399,59,90,3.2,18.604,1
7/31/2021 2:10,11,4,1,4.5254834,18.8,44.2303277,-123.1622552,45,10,5.6,18.604,0
7/31/2021 4:30,11,1,1,NA,11.6,44.2333796,-123.1625399,61,70,-7.2,18.343,0
7/31/2021 4:40,11,4,1,2.722743714,16.4,44.2303277,-123.1622552,132,10,4.8,18.343,0
7/31/2021 6:30,11,1,1,NA,13.2,44.2333796,-123.1625399,85,80,-3.2,18.224,0
7/31/2021 7:10,11,4,1,4.574713106,10.8,44.2303277,-123.1622552,56,40,-2.4,18.224,0
7/31/2021 8:20,11,1,1,NA,12.4,44.2333796,-123.1625399,59,70,1.6,18.295,1
7/31/2021 8:50,11,1,1,NA,12.4,44.2333796,-123.1625399,80,30,0,18.319,0
7/31/2021 19:00,11,1,1,NA,13.2,44.2333796,-123.1625399,74,570,0.8,19.318,0
7/31/2021 19:40,11,4,1,NA,22,44.2303277,-123.1622552,111,40,8.8,19.46,0
7/31/2021 21:00,11,1,1,1.13137085,14,44.2333796,-123.1625399,82,80,-8,19.246,0
7/31/2021 21:10,11,1,1,0.221880078,13.2,44.2333796,-123.1625399,82,10,-0.8,19.246,0
8/1/2021 0:30,11,1,1,0.565685425,14,44.2333796,-123.1625399,86,70,0.8,18.985,0
8/1/2021 0:50,11,1,2,NA,13.2,44.2333796,-123.1625399,73,20,-0.8,18.889,0
8/1/2021 2:40,11,1,2,NA,15.6,44.2333796,-123.1625399,74,60,2.4,18.533,1
8/1/2021 3:00,11,1,1,NA,14,44.2333796,-123.1625399,78,20,-1.6,18.557,0
8/1/2021 5:00,11,1,1,NA,13.2,44.2333796,-123.1625399,73,60,-0.8,18.224,0
8/1/2021 5:20,11,1,1,NA,14,44.2333796,-123.1625399,86,20,0.8,18.247,0
8/1/2021 7:00,11,1,1,NA,10.8,44.2333796,-123.1625399,73,100,-3.2,18.033,0
8/1/2021 7:50,11,1,1,NA,18,44.2333796,-123.1625399,73,50,7.2,18.01,0
8/1/2021 10:10,11,4,1,NA,19.6,44.2303277,-123.1622552,64,110,1.6,18.295,0
8/1/2021 10:20,11,3,1,0.706972081,19.6,44.23065,-123.16275,109,10,0,18.343,0
8/1/2021 15:40,11,2,1,0.931600122,13.2,44.23122,-123.1629,95,300,-6.4,20.055,0
8/1/2021 16:40,11,1,1,0.552052447,13.2,44.2333796,-123.1625399,78,60,0,20.103,0
8/1/2021 16:50,11,1,1,NA,14,44.2333796,-123.1625399,75,10,0.8,19.888,0
8/1/2021 18:30,11,1,1,0.414039336,13.2,44.2333796,-123.1625399,90,100,-0.8,20.388,0
8/1/2021 20:50,11,1,1,NA,14.8,44.2333796,-123.1625399,74,140,1.6,20.46,1
8/1/2021 21:20,11,1,1,0.8,14.8,44.2333796,-123.1625399,76,30,0,20.436,0
8/2/2021 0:00,11,1,1,0.8,14.8,44.2333796,-123.1625399,76,70,0,19.579,0
8/2/2021 0:20,11,1,1,0.565685425,14.8,44.2333796,-123.1625399,77,20,0,19.746,0
8/2/2021 2:30,11,1,1,0.565685425,14.8,44.2333796,-123.1625399,79,70,0,19.46,0
8/2/2021 2:40,11,1,1,2.2627417,14,44.2333796,-123.1625399,81,10,-0.8,19.484,0
8/2/2021 5:40,11,1,1,NA,10,44.2333796,-123.1625399,78,100,-4,18.985,0
8/2/2021 6:00,11,1,1,NA,13.2,44.2333796,-123.1625399,69,20,3.2,18.889,0
8/2/2021 7:00,11,4,1,0.282842712,24.4,44.2303277,-123.1622552,68,60,11.2,18.866,0
8/2/2021 8:00,11,1,1,NA,14.8,44.2333796,-123.1625399,80,60,-9.6,18.747,0
8/2/2021 8:30,11,1,1,5.6,13.2,44.2333796,-123.1625399,81,30,-1.6,18.937,0
8/2/2021 11:00,11,1,1,NA,13.2,44.2333796,-123.1625399,75,150,0,19.389,0
8/2/2021 11:20,11,1,1,NA,13.2,44.2333796,-123.1625399,74,20,0,19.508,0
8/2/2021 14:00,11,1,1,NA,14,44.2333796,-123.1625399,76,130,0.8,20.365,0
8/2/2021 14:10,11,1,1,0.413118224,15.6,44.2333796,-123.1625399,89,10,1.6,20.65,0
8/2/2021 15:20,11,1,1,0.438178046,15.6,44.2333796,-123.1625399,95,70,0,20.841,0
8/2/2021 15:30,11,1,1,0.565685425,15.6,44.2333796,-123.1625399,94,10,0,20.841,0
8/2/2021 17:30,11,1,1,NA,13.2,44.2333796,-123.1625399,77,120,-2.4,21.246,0
8/2/2021 18:10,11,1,1,0.37032804,15.6,44.2333796,-123.1625399,86,40,2.4,21.342,0
8/2/2021 19:40,11,1,1,0.461880215,16.4,44.2333796,-123.1625399,90,90,0.8,20.936,0
