date.time,date,time,logger.site,logger.position,sensor.depth,site.total.depth,logger.type,latitude,longitude,dissolved.oxygen,temperature,logger.id,day.night,quarterly
7/30/2021 0:00,7/30/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.53,12.86,21063701,night,1
7/30/2021 0:00,7/30/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,18.485,20659256,night,1
7/30/2021 0:00,7/30/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,5.62,19.1,20708554,night,1
7/30/2021 0:00,7/30/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.007,20659266,night,1
7/31/2021 0:00,7/31/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,1.44,12.12,21063704,night,1
7/31/2021 0:00,7/31/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.292,20659269,night,1
7/31/2021 0:00,7/31/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.53,12.48,21063701,night,1
7/31/2021 0:00,7/31/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.034,20659256,night,1
7/31/2021 0:00,7/31/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,6.68,17.92,20708554,night,1
7/31/2021 0:00,7/31/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,19.96,20659266,night,1
8/1/2021 0:00,8/1/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.28,12.38,21063704,night,1
8/1/2021 0:00,8/1/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.534,20659269,night,1
8/1/2021 0:00,8/1/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.6,12.72,21063701,night,1
8/1/2021 0:00,8/1/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.819,20659256,night,1
8/1/2021 0:00,8/1/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,6.44,19.14,20708554,night,1
8/1/2021 0:00,8/1/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.436,20659266,night,1
8/2/2021 0:00,8/2/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,1.62,12.58,21063704,night,1
8/2/2021 0:00,8/2/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.92,20659269,night,1
8/2/2021 0:00,8/2/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.49,14.02,21063701,night,1
8/2/2021 0:00,8/2/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.15,20659256,night,1
8/2/2021 0:00,8/2/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,6.17,20.28,20708554,night,1
8/2/2021 0:00,8/2/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.46,20659266,night,1
8/3/2021 0:00,8/3/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.94,12.3,21063704,night,1
8/3/2021 0:00,8/3/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.606,20659269,night,1
8/3/2021 0:00,8/3/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.71,12.68,21063701,night,1
8/3/2021 0:00,8/3/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,18.033,20659256,night,1
8/3/2021 0:00,8/3/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,5.79,19.26,20708554,night,1
8/3/2021 0:00,8/3/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.77,20659266,night,1
8/4/2021 0:00,8/4/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.91,12.3,21063704,night,1
8/4/2021 0:00,8/4/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.606,20659269,night,1
8/4/2021 0:00,8/4/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.62,12.74,21063701,night,1
8/4/2021 0:00,8/4/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,18.913,20659256,night,1
8/4/2021 0:00,8/4/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,5.99,19.64,20708554,night,1
8/4/2021 0:00,8/4/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.627,20659266,night,1
8/5/2021 0:00,8/5/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.84,12.24,21063704,night,1
8/5/2021 0:00,8/5/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.534,20659269,night,1
8/5/2021 0:00,8/5/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.61,12.68,21063701,night,1
8/5/2021 0:00,8/5/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,18.295,20659256,night,1
8/5/2021 0:00,8/5/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,5.48,18.94,20708554,night,1
8/5/2021 0:00,8/5/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,19.936,20659266,night,1
8/6/2021 0:00,8/6/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.86,11.92,21063704,night,1
8/6/2021 0:00,8/6/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.171,20659269,night,1
8/6/2021 0:00,8/6/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.66,12.24,21063701,night,1
8/6/2021 0:00,8/6/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,13.906,20659256,night,1
8/6/2021 0:00,8/6/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,4.62,15.58,20708554,night,1
8/6/2021 0:00,8/6/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,16.463,20659266,night,1
8/7/2021 0:00,8/7/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.55,12.46,21063704,night,1
8/7/2021 0:00,8/7/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.751,20659269,night,1
8/7/2021 0:00,8/7/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.55,13.06,21063701,night,1
8/7/2021 0:00,8/7/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,19.865,20659256,night,1
8/7/2021 0:00,8/7/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,4.58,20.12,20708554,night,1
8/7/2021 0:00,8/7/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.293,20659266,night,1
8/8/2021 0:00,8/8/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.07,12.48,21063704,night,1
8/8/2021 0:00,8/8/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.775,20659269,night,1
8/8/2021 0:00,8/8/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.49,13.24,21063701,night,1
8/8/2021 0:00,8/8/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.246,20659256,night,1
8/8/2021 0:00,8/8/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,5.51,20.58,20708554,night,1
8/8/2021 0:00,8/8/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,20.96,20659266,night,1
8/9/2021 0:00,8/9/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.13,12.42,21063704,night,1
8/9/2021 0:00,8/9/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.606,20659269,night,1
8/9/2021 0:00,8/9/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.69,13.3,21063701,night,1
8/9/2021 0:00,8/9/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,18.58,20659256,night,1
8/9/2021 0:00,8/9/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,6.64,18.56,20708554,night,1
8/9/2021 0:00,8/9/2021,0:00,site.4.netpen,surface.temp,0,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,18.485,20659266,night,1
8/10/2021 0:00,8/10/2021,0:00,site.4.netpen,bottom.do,1.55,1.7,hobo.onset.do,44.2301936,-123.1624209,2.52,12.34,21063704,night,1
8/10/2021 0:00,8/10/2021,0:00,site.4.netpen,bottom.temp,1.1,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,12.558,20659269,night,1
8/10/2021 0:00,8/10/2021,0:00,site.4.netpen,mid.do,0.95,1.7,hobo.onset.do,44.2301936,-123.1624209,2.52,13.16,21063701,night,1
8/10/2021 0:00,8/10/2021,0:00,site.4.netpen,mid.temp,0.5,1.7,hobo.onset.temp,44.2301936,-123.1624209,NA,17.986,20659256,night,1
8/10/2021 0:00,8/10/2021,0:00,site.4.netpen,surface.do,0.25,1.7,hobo.onset.do,44.2301936,-123.1624209,5.82,18.26,20708554,night,1
