"date.time","temperature","depth","dissolved.oxygen","case","ibutton.id","netpen","standardized.do","standardized.temp","stratID"
2021-07-25 12:15:00,16.009,1.026848704,6.64188504,1,17,"blue.ruin.netpen.2",1.30578661730635,0.142610025262722,1
2021-07-25 12:15:00,19.9889401082396,0.0875293201068416,8.19,0,17,"blue.ruin.netpen.2",2.19112015165625,1.40157020965109,1
2021-07-25 12:15:00,19.5145186132984,0.442169447569177,7.8494620149752,0,17,"blue.ruin.netpen.2",1.99637382747991,1.25149815919172,1
2021-07-25 12:15:00,18.5316630064556,0.905728323431686,7.07405444080518,0,17,"blue.ruin.netpen.2",1.55293497058673,0.940594969101945,1
2021-07-25 12:15:00,20.2659583852584,0.0136183603899553,8.19,0,17,"blue.ruin.netpen.2",2.19112015165625,1.4891984079731,1
2021-07-25 12:15:00,13.3904724843874,1.38324393390212,5.136,0,17,"blue.ruin.netpen.2",0.444603462802216,-0.685699395036522,1
2021-07-25 12:15:00,13.2979944964586,1.46420715290587,5.136,0,17,"blue.ruin.netpen.2",0.444603462802216,-0.714952625378775,1
2021-07-25 12:15:00,19.5418489152344,0.206817258475348,8.19,0,17,"blue.ruin.netpen.2",2.19112015165625,1.26014345561051,1
2021-07-25 12:15:00,18.7142468874938,0.833338238438591,7.19514331024817,0,17,"blue.ruin.netpen.2",1.62218308169238,0.998351073537364,1
2021-07-25 12:15:00,19.5468332107202,0.488333158171736,7.77224271724001,0,17,"blue.ruin.netpen.2",1.9522137776449,1.26172011993037,1
2021-07-25 12:15:00,18.8420073036084,0.782684328965843,7.2798734860935,0,17,"blue.ruin.netpen.2",1.67063844061949,1.0387650678827,1
2021-07-25 12:30:00,14.882,1.066544567,NA,1,17,"blue.ruin.netpen.2",NA,-0.213889843885629,2
2021-07-25 12:30:00,20.1161642393107,0.13753347157035,8.16,0,17,"blue.ruin.netpen.2",2.17396379911348,1.44181456287146,2
2021-07-25 12:30:00,19.7383021338461,0.477622482110746,7.95685302146711,0,17,"blue.ruin.netpen.2",2.05778842638985,1.32228679787213,2
2021-07-25 12:30:00,19.6905534988058,0.523853657301515,7.90137561123818,0,17,"blue.ruin.netpen.2",2.02606209278826,1.30718264335227,2
2021-07-25 12:30:00,13.26,1.69665452691261,7.39,0,17,"blue.ruin.netpen.2",1.73361741718237,-0.726971288214488,2
2021-07-25 12:30:00,18.9858102488385,0.827041479945183,7.53755022406578,0,17,"blue.ruin.netpen.2",1.81799820591028,1.08425373794275,2
2021-07-25 12:30:00,13.6285131164909,1.23473212467507,7.39,0,17,"blue.ruin.netpen.2",1.73361741718237,-0.610400855376461,2
2021-07-25 12:30:00,13.3013607504223,1.51461532758549,7.39,0,17,"blue.ruin.netpen.2",1.73361741718237,-0.713887790332121,2
2021-07-25 12:30:00,17.9958475920074,0.971494273748249,7.39,0,17,"blue.ruin.netpen.2",1.73361741718237,0.771102400212458,2
2021-07-25 12:30:00,13.3418897715001,1.47994221069384,7.39,0,17,"blue.ruin.netpen.2",1.73361741718237,-0.70106739041114,2
2021-07-25 12:30:00,19.7259618312819,0.441749509540386,7.99990058855154,0,17,"blue.ruin.netpen.2",2.08240640095681,1.31838323420807,2
2021-07-25 12:40:00,16.072,1.032177451,6.889944983,1,17,"blue.ruin.netpen.2",1.44764674510127,0.162538589376604,3
2021-07-25 12:40:00,13.26,1.59652904618997,5.072,0,17,"blue.ruin.netpen.2",0.408003244044305,-0.726971288214488,3
2021-07-25 12:40:00,19.8227508623339,0.221319891978055,8.28,0,17,"blue.ruin.netpen.2",2.24258920928456,1.34900016136427,3
2021-07-25 12:40:00,20.3104416624093,0.107373443362303,8.28,0,17,"blue.ruin.netpen.2",2.24258920928456,1.50326964353972,3
2021-07-25 12:40:00,13.26,1.58744295435026,5.072,0,17,"blue.ruin.netpen.2",0.408003244044305,-0.726971288214488,3
2021-07-25 12:40:00,19.7126013874455,0.27234288554173,8.22041897188872,0,17,"blue.ruin.netpen.2",2.20851610517996,1.31415697291309,3
2021-07-25 12:40:00,13.4464776858458,1.37444569324143,5.072,0,17,"blue.ruin.netpen.2",0.408003244044305,-0.667983470465496,3
2021-07-25 12:40:00,13.6626502471832,1.17093595976476,6.0962463101456,0,17,"blue.ruin.netpen.2",0.993747603627295,-0.59960237922304,3
2021-07-25 12:40:00,18.8482993090848,0.951502344757318,7.35140658798814,0,17,"blue.ruin.netpen.2",1.71154667777224,1.0407553954151,3
2021-07-25 12:40:00,13.5094708935386,1.31514246424194,5.27138510453608,0,17,"blue.ruin.netpen.2",0.522027282217576,-0.648057054937795,3
2021-07-25 12:40:00,18.0599846657058,0.974409589334391,7.22037714900728,0,17,"blue.ruin.netpen.2",1.63661376948434,0.791390650772386,3
2021-07-25 12:55:00,14.757,1.07279604,NA,1,17,"blue.ruin.netpen.2",NA,-0.253430645698889,4
2021-07-25 12:55:00,20.3464580970723,0.154168907669373,8.39,0,17,"blue.ruin.netpen.2",2.30549583527472,1.51466259317996,4
2021-07-25 12:55:00,19.3023660673645,0.880940708587877,7.74551736018028,0,17,"blue.ruin.netpen.2",1.93693012272663,1.18438870500812,4
2021-07-25 12:55:00,16.4083779530895,1.02653031509835,7.63,0,17,"blue.ruin.netpen.2",1.87086823752453,0.268943821196299,4
2021-07-25 12:55:00,20.7912936677594,0.0378416140796617,8.39,0,17,"blue.ruin.netpen.2",2.30549583527472,1.65537583430018,4
2021-07-25 12:55:00,15.9213849965669,1.04017412224784,7.63,0,17,"blue.ruin.netpen.2",1.87086823752453,0.114895085369791,4
