date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength
7/25/2021 12:30,19,2,1,0,18,44.23122,-123.1629,66
7/25/2021 12:40,19,2,1,0.427617987,14.8,44.23122,-123.1629,114
7/25/2021 15:50,19,1,1,2.013289183,11.6,44.2333796,-123.1625399,74
7/26/2021 0:00,19,4,1,NA,11.6,44.2303277,-123.1622552,57
7/26/2021 0:10,19,4,1,2.103964512,14.8,44.2303277,-123.1622552,84
7/26/2021 23:30,19,2,1,0.565685425,13.2,44.23122,-123.1629,81
7/26/2021 23:50,19,4,1,NA,24.4,44.2303277,-123.1622552,110
7/27/2021 0:30,19,4,1,0.461880215,19.6,44.2303277,-123.1622552,132
7/27/2021 4:00,19,1,2,NA,14,44.2333796,-123.1625399,79
7/27/2021 10:30,19,4,1,0.48074017,15.6,44.2303277,-123.1622552,161
7/28/2021 0:30,19,4,1,0,14.8,44.2303277,-123.1622552,110
7/28/2021 0:40,19,4,1,0.417786374,12.4,44.2303277,-123.1622552,123
7/28/2021 0:50,19,4,1,0.461880215,12.4,44.2303277,-123.1622552,98
7/28/2021 1:30,19,4,1,0,24.4,44.2303277,-123.1622552,108
7/28/2021 9:00,19,4,1,NA,10,44.2303277,-123.1622552,53
7/28/2021 21:20,19,1,1,NA,14,44.2333796,-123.1625399,45
7/28/2021 21:40,19,1,1,NA,14.8,44.2333796,-123.1625399,110
7/29/2021 20:40,19,1,1,NA,18.8,44.2333796,-123.1625399,104
7/29/2021 22:50,19,4,1,NA,20.4,44.2303277,-123.1622552,46
7/30/2021 16:40,19,1,1,0,10,44.2333796,-123.1625399,77
7/30/2021 16:50,19,1,1,1.242118007,12.4,44.2333796,-123.1625399,84
7/30/2021 17:00,19,1,1,NA,16.4,44.2333796,-123.1625399,74
7/31/2021 7:10,19,1,1,NA,11.6,44.2333796,-123.1625399,71
7/31/2021 20:30,19,4,1,NA,12.4,44.2303277,-123.1622552,106
8/1/2021 0:20,19,4,1,NA,11.6,44.2303277,-123.1622552,85
8/1/2021 23:50,19,2,1,NA,15.6,44.23122,-123.1629,76
8/3/2021 6:20,19,1,1,NA,10,44.2333796,-123.1625399,82
8/3/2021 7:50,19,1,1,NA,12.4,44.2333796,-123.1625399,91
8/3/2021 9:50,19,1,1,NA,18.8,44.2333796,-123.1625399,86
8/3/2021 20:10,19,1,1,NA,15.6,44.2333796,-123.1625399,76
8/3/2021 20:20,19,1,1,NA,16.4,44.2333796,-123.1625399,49
8/4/2021 23:10,19,4,1,0.311399578,10.8,44.2303277,-123.1622552,89
8/5/2021 16:10,19,1,1,NA,13.2,44.2333796,-123.1625399,82
8/6/2021 10:40,19,1,1,NA,16.4,44.2333796,-123.1625399,93
8/6/2021 10:50,19,1,1,0.653197265,16.4,44.2333796,-123.1625399,87
8/6/2021 11:10,19,1,1,NA,16.4,44.2333796,-123.1625399,86
8/7/2021 19:00,19,1,1,NA,21.2,44.2333796,-123.1625399,90
8/10/2021 13:40,19,2,1,NA,14,44.23122,-123.1629,99
8/10/2021 16:40,19,2,1,NA,15.6,44.23122,-123.1629,73
8/11/2021 0:20,19,2,1,0.461880215,16.4,44.23122,-123.1629,97
8/11/2021 0:30,19,2,1,0,16.4,44.23122,-123.1629,79
8/11/2021 13:50,19,2,1,NA,11.6,44.23122,-123.1629,92
8/11/2021 20:30,19,1,1,0.565685425,18.8,44.2333796,-123.1625399,91
8/12/2021 1:40,19,1,1,0.357770876,13.2,44.2333796,-123.1625399,88
8/13/2021 19:50,19,4,1,NA,11.6,44.2303277,-123.1622552,114
8/14/2021 18:00,19,4,1,NA,11.6,44.2303277,-123.1622552,115
8/15/2021 13:30,19,1,1,0,10.8,44.2333796,-123.1625399,88
8/15/2021 13:40,19,1,1,1.13137085,10.8,44.2333796,-123.1625399,88
8/15/2021 21:10,19,1,1,NA,18.8,44.2333796,-123.1625399,86
8/16/2021 9:30,19,1,1,NA,22,44.2333796,-123.1625399,84
8/16/2021 10:00,19,1,1,NA,16.4,44.2333796,-123.1625399,61
8/16/2021 10:10,19,1,1,NA,16.4,44.2333796,-123.1625399,80
8/16/2021 17:00,19,1,1,NA,10.8,44.2333796,-123.1625399,77
8/16/2021 22:20,19,1,1,NA,11.6,44.2333796,-123.1625399,83
8/17/2021 19:10,19,1,1,NA,10.8,44.2333796,-123.1625399,79
8/17/2021 19:50,19,1,1,1.222020185,17.2,44.2333796,-123.1625399,84
8/17/2021 21:00,19,1,1,NA,10.8,44.2333796,-123.1625399,52
