date.time,tag.id,receiver.site,antenna.number,temp.sd,temp.strong,lat,long,strength,logger.site,fish.depth,fish.do
7/27/2021 8:00,11,1,1,NA,13.2,44.2333796,-123.1625399,77,site.0.mouth,mouth.mixed,NA
7/27/2021 8:20,11,1,1,NA,12.4,44.2333796,-123.1625399,81,site.0.mouth,mouth.mixed,NA
7/27/2021 10:00,11,1,2,NA,11.6,44.2333796,-123.1625399,67,site.1,2.5,3.999
7/27/2021 15:00,11,1,1,NA,14,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
7/27/2021 17:20,11,2,1,0.56051924,22.8,44.23122,-123.1629,87,site.2,0,8.98
7/27/2021 19:10,11,1,1,NA,11.6,44.2333796,-123.1625399,56,site.0.mouth,mouth.mixed,NA
7/27/2021 19:30,11,1,1,1.697056275,16.4,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
7/27/2021 20:50,11,4,1,0.393892771,12.4,44.2303277,-123.1622552,142,site.4.netpen,1.55,3.52
7/27/2021 21:10,11,1,2,NA,13.2,44.2333796,-123.1625399,80,site.1,1.413909378,5.906927819
7/27/2021 21:20,11,1,1,NA,12.4,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
7/27/2021 21:30,11,4,1,2.025551071,17.2,44.2303277,-123.1622552,84,site.4.netpen,0.704226268,4.387529259
7/27/2021 21:40,11,1,1,NA,11.6,44.2333796,-123.1625399,74,site.0.mouth,mouth.mixed,NA
7/27/2021 22:10,11,1,2,NA,14,44.2333796,-123.1625399,76,site.1,0.519318885,6.603817337
7/27/2021 22:30,11,1,2,NA,12.4,44.2333796,-123.1625399,75,site.1,2.266530612,3.635697959
7/28/2021 0:20,11,1,2,NA,14,44.2333796,-123.1625399,80,site.1,0.3,8.202
7/28/2021 1:10,11,4,1,0.461880215,13.2,44.2303277,-123.1622552,140,site.4.netpen,0.895010183,2.659895257
7/28/2021 2:10,11,1,2,0.8,14,44.2333796,-123.1625399,76,site.1,0.3,7.637
7/28/2021 4:00,11,1,2,0.4,14,44.2333796,-123.1625399,74,site.1,0.3,7.296
7/28/2021 8:20,11,1,2,NA,14,44.2333796,-123.1625399,81,site.1,0.3,4.612
7/28/2021 9:00,11,4,1,NA,16.4,44.2303277,-123.1622552,81,site.4.netpen,0.45,3.89
7/28/2021 19:00,11,4,1,NA,14,44.2303277,-123.1622552,55,site.4.netpen,1.030813634,3.38
7/28/2021 19:30,11,4,1,0.565685425,17.2,44.2303277,-123.1622552,56,site.4.netpen,0.752584135,4.866776271
7/28/2021 20:10,11,1,1,NA,14,44.2333796,-123.1625399,75,site.0.mouth,mouth.mixed,NA
7/28/2021 21:10,11,1,1,0.461880215,13.2,44.2333796,-123.1625399,84,site.0.mouth,mouth.mixed,NA
7/28/2021 21:20,11,1,1,0.461880215,14,44.2333796,-123.1625399,78,site.0.mouth,mouth.mixed,NA
7/28/2021 21:30,11,1,1,0.461880215,14,44.2333796,-123.1625399,83,site.0.mouth,mouth.mixed,NA
7/28/2021 22:10,11,4,1,0.565685425,15.6,44.2303277,-123.1622552,53,site.4.netpen,0.711028643,4.022136734
7/28/2021 22:20,11,4,1,3.959797975,13.2,44.2303277,-123.1622552,45,site.4.netpen,0.935157699,2.687993639
7/28/2021 23:00,11,1,2,1.697056275,14,44.2333796,-123.1625399,75,site.1,0.89408867,6.435737573
7/28/2021 23:30,11,1,1,NA,15.6,44.2333796,-123.1625399,76,site.0.mouth,mouth.mixed,NA
7/28/2021 23:40,11,1,1,1.697056275,15.6,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
7/28/2021 23:50,11,1,1,NA,15.6,44.2333796,-123.1625399,72,site.0.mouth,mouth.mixed,NA
7/29/2021 0:10,11,1,1,1.13137085,14,44.2333796,-123.1625399,80,site.0.mouth,mouth.mixed,NA
7/29/2021 0:20,11,1,2,0,13.2,44.2333796,-123.1625399,80,site.1,1.590413448,4.742323035
7/29/2021 0:40,11,1,2,0.461880215,14,44.2333796,-123.1625399,90,site.1,0.732803738,6.045690654
