"date.time","tag.id","receiver.site","antenna.number","temp.sd","temp.strong","lat","long","strength","gap","gap.30","gap.40","gap.50","gap.60","gap.70","gap.80","gap.90","gap.100","gap.110","gap.120","temp.diff","mainstem.temp","foray.30","foray.40","foray.50","foray.60","foray.70","foray.80","foray.90","foray.100","foray.110","foray.120"
2021-07-25 05:00:00,24,1,1,0,14.8,44.2333796,-123.1625399,82,50,1,1,1,0,0,0,0,0,0,0,1.6,19.056,1,1,1,0,0,0,0,0,0,0
2021-07-25 05:30:00,24,1,1,1.13137085,14.8,44.2333796,-123.1625399,84,30,1,0,0,0,0,0,0,0,0,0,0,18.485,0,0,0,0,0,0,0,0,0,0
2021-07-25 07:00:00,24,1,1,0.565685425,14.8,44.2333796,-123.1625399,85,40,1,1,0,0,0,0,0,0,0,0,1.6,17.296,1,1,0,0,0,0,0,0,0,0
2021-07-25 07:10:00,24,1,1,1.697056275,11.6,44.2333796,-123.1625399,82,10,0,0,0,0,0,0,0,0,0,0,-3.2,17.344,0,0,0,0,0,0,0,0,0,0
2021-07-25 07:40:00,24,1,1,NA,13.2,44.2333796,-123.1625399,80,30,1,0,0,0,0,0,0,0,0,0,1.6,17.962,1,0,0,0,0,0,0,0,0,0
2021-07-25 07:50:00,24,1,1,NA,12.4,44.2333796,-123.1625399,86,10,0,0,0,0,0,0,0,0,0,0,-0.799999999999999,18.247,0,0,0,0,0,0,0,0,0,0
2021-07-25 08:30:00,24,1,1,NA,14,44.2333796,-123.1625399,75,40,1,1,0,0,0,0,0,0,0,0,1.6,18.509,1,1,0,0,0,0,0,0,0,0
2021-07-25 08:40:00,24,1,1,0,14,44.2333796,-123.1625399,91,10,0,0,0,0,0,0,0,0,0,0,0,18.557,0,0,0,0,0,0,0,0,0,0
2021-07-26 03:30:00,24,1,1,NA,15.6,44.2333796,-123.1625399,86,80,1,1,1,1,1,1,0,0,0,0,1.6,19.318,1,1,1,1,1,1,0,0,0,0
2021-07-26 03:40:00,24,1,2,NA,15.6,44.2333796,-123.1625399,87,10,0,0,0,0,0,0,0,0,0,0,0,19.341,0,0,0,0,0,0,0,0,0,0
2021-08-01 11:30:00,24,1,1,NA,14,44.2333796,-123.1625399,70,600,1,1,1,1,1,1,1,1,1,1,1.6,18.557,1,1,1,1,1,1,1,1,1,1
2021-08-01 13:10:00,24,1,1,NA,13.2,44.2333796,-123.1625399,72,100,1,1,1,1,1,1,1,1,0,0,-0.800000000000001,19.175,0,0,0,0,0,0,0,0,0,0
2021-08-09 03:20:00,24,2,2,3.49417097,16.4,44.23122,-123.1629,96,30,1,0,0,0,0,0,0,0,0,0,6.4,18.557,1,0,0,0,0,0,0,0,0,0
2021-08-09 08:40:00,24,1,1,NA,14,44.2333796,-123.1625399,75,320,1,1,1,1,1,1,1,1,1,1,-2.4,17.629,0,0,0,0,0,0,0,0,0,0
2021-08-16 04:30:00,24,1,1,NA,23.6,44.2333796,-123.1625399,72,9830,1,1,1,1,1,1,1,1,1,1,9.6,19.627,1,1,1,1,1,1,1,1,1,1
