"date.time","tag.id","receiver.site","antenna.number","temp.sd","temp.strong","lat","long","strength","gap","gap.30","gap.40","gap.50","gap.60","gap.70","gap.80","gap.90","gap.100","gap.110","gap.120","temp.diff","mainstem.temp","foray.30","foray.40","foray.50","foray.60","foray.70","foray.80","foray.90","foray.100","foray.110","foray.120"
2021-07-28 13:10:00,17,1,1,0.530394835,18.8,44.2333796,-123.1625399,94,2200,1,1,1,1,1,1,1,1,1,1,4,19.46,1,1,1,1,1,1,1,1,1,1
2021-07-28 13:20:00,17,1,1,1.454619664,18,44.2333796,-123.1625399,124,10,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,19.436,0,0,0,0,0,0,0,0,0,0
2021-07-29 23:30:00,17,1,1,0.710100292,18,44.2333796,-123.1625399,76,50,1,1,1,0,0,0,0,0,0,0,6.4,20.246,1,1,1,0,0,0,0,0,0,0
2021-07-29 23:40:00,17,1,1,0.8,14.8,44.2333796,-123.1625399,74,10,0,0,0,0,0,0,0,0,0,0,-3.2,20.174,0,0,0,0,0,0,0,0,0,0
2021-07-30 06:10:00,17,1,1,1.697056275,16.4,44.2333796,-123.1625399,81,40,1,1,0,0,0,0,0,0,0,0,3.2,19.056,1,1,0,0,0,0,0,0,0,0
2021-07-30 06:30:00,17,1,1,1.13137085,15.6,44.2333796,-123.1625399,80,20,0,0,0,0,0,0,0,0,0,0,-0.799999999999999,19.032,0,0,0,0,0,0,0,0,0,0
2021-08-09 11:10:00,17,2,1,NA,19.6,44.23122,-123.1629,74,470,1,1,1,1,1,1,1,1,1,1,3.2,18.152,1,1,1,1,1,1,1,1,1,1
