"date.time","tag.id","receiver.site","antenna.number","temp.sd","temp.strong","lat","long","strength","gap","gap.30","gap.40","gap.50","gap.60","gap.70","gap.80","gap.90","gap.100","gap.110","gap.120","temp.diff","mainstem.temp","foray.30","foray.40","foray.50","foray.60","foray.70","foray.80","foray.90","foray.100","foray.110","foray.120"
2021-07-25 19:30:00,29,2,1,2.166410241,18,44.23122,-123.1629,78,40,1,1,0,0,0,0,0,0,0,0,1.6,21.127,1,1,0,0,0,0,0,0,0,0
2021-07-25 19:40:00,29,2,1,NA,10,44.23122,-123.1629,83,10,0,0,0,0,0,0,0,0,0,0,-8,20.96,0,0,0,0,0,0,0,0,0,0
2021-07-26 06:50:00,29,1,2,1.697056275,15.6,44.2333796,-123.1625399,85,30,1,0,0,0,0,0,0,0,0,0,2.4,18.866,1,0,0,0,0,0,0,0,0,0
2021-07-26 08:20:00,29,1,2,NA,11.6,44.2333796,-123.1625399,74,90,1,1,1,1,1,1,1,0,0,0,-4,18.628,0,0,0,0,0,0,0,0,0,0
2021-07-30 15:40:00,29,1,1,NA,14,44.2333796,-123.1625399,91,30,1,0,0,0,0,0,0,0,0,0,1.6,19.96,1,0,0,0,0,0,0,0,0,0
2021-07-30 15:50:00,29,1,1,NA,14,44.2333796,-123.1625399,75,10,0,0,0,0,0,0,0,0,0,0,0,19.936,0,0,0,0,0,0,0,0,0,0
2021-08-01 19:40:00,29,1,1,0.565685425,14.8,44.2333796,-123.1625399,83,40,1,1,0,0,0,0,0,0,0,0,1.6,20.293,1,1,0,0,0,0,0,0,0,0
2021-08-01 19:50:00,29,1,2,1.13137085,17.2,44.2333796,-123.1625399,81,10,0,0,0,0,0,0,0,0,0,0,2.4,20.293,0,0,0,0,0,0,0,0,0,0
2021-08-02 20:30:00,29,2,1,NA,16.4,44.23122,-123.1629,79,150,1,1,1,1,1,1,1,1,1,1,1.6,20.841,1,1,1,1,1,1,1,1,1,1
2021-08-02 20:50:00,29,2,1,1.247781657,14,44.23122,-123.1629,109,20,0,0,0,0,0,0,0,0,0,0,-2.4,20.793,0,0,0,0,0,0,0,0,0,0
2021-08-06 12:00:00,29,1,1,0.548205345,14.8,44.2333796,-123.1625399,90,40,1,1,0,0,0,0,0,0,0,0,2.4,18.818,1,1,0,0,0,0,0,0,0,0
2021-08-06 12:10:00,29,1,1,0.479238635,15.6,44.2333796,-123.1625399,98,10,0,0,0,0,0,0,0,0,0,0,0.799999999999999,18.794,0,0,0,0,0,0,0,0,0,0
2021-08-15 14:30:00,29,1,1,NA,20.4,44.2333796,-123.1625399,74,60,1,1,1,1,0,0,0,0,0,0,7.2,19.746,1,1,1,1,0,0,0,0,0,0
2021-08-15 20:30:00,29,1,1,2.809507667,18.8,44.2333796,-123.1625399,75,360,1,1,1,1,1,1,1,1,1,1,-1.6,20.65,0,0,0,0,0,0,0,0,0,0
2021-08-16 07:40:00,29,1,1,NA,20.4,44.2333796,-123.1625399,70,670,1,1,1,1,1,1,1,1,1,1,1.6,19.008,1,1,1,1,1,1,1,1,1,1
