"date.time","tag.id","receiver.site","antenna.number","temp.sd","temp.strong","lat","long","strength","gap","gap.30","gap.40","gap.50","gap.60","gap.70","gap.80","gap.90","gap.100","gap.110","gap.120","temp.diff","mainstem.temp","foray.30","foray.40","foray.50","foray.60","foray.70","foray.80","foray.90","foray.100","foray.110","foray.120"
2021-08-02 05:20:00,37,2,2,0.49377072,15.6,44.23122,-123.1629,110,140,1,1,1,1,1,1,1,1,1,1,4,19.127,1,1,1,1,1,1,1,1,1,1
2021-08-02 05:30:00,37,2,1,0.979795897,12.4,44.23122,-123.1629,75,10,0,0,0,0,0,0,0,0,0,0,-3.2,19.032,0,0,0,0,0,0,0,0,0,0
2021-08-05 09:50:00,37,1,1,0.876356092,15.6,44.2333796,-123.1625399,75,30,1,0,0,0,0,0,0,0,0,0,2.4,18.985,1,0,0,0,0,0,0,0,0,0
2021-08-05 10:00:00,37,2,1,0.90252172,12.4,44.23122,-123.1629,93,10,0,0,0,0,0,0,0,0,0,0,-3.2,19.08,0,0,0,0,0,0,0,0,0,0
2021-08-09 07:30:00,37,1,1,NA,14.8,44.2333796,-123.1625399,76,70,1,1,1,1,1,0,0,0,0,0,1.6,17.772,1,1,1,1,1,0,0,0,0,0
2021-08-09 07:40:00,37,1,1,0.565685425,14,44.2333796,-123.1625399,85,10,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,17.796,0,0,0,0,0,0,0,0,0,0
2021-08-10 06:20:00,37,1,1,NA,14,44.2333796,-123.1625399,73,40,1,1,0,0,0,0,0,0,0,0,1.6,18.438,1,1,0,0,0,0,0,0,0,0
2021-08-10 06:40:00,37,2,2,NA,13.2,44.23122,-123.1629,79,20,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,18.461,0,0,0,0,0,0,0,0,0,0
2021-08-12 09:00:00,37,1,1,NA,14.8,44.2333796,-123.1625399,75,40,1,1,0,0,0,0,0,0,0,0,2.4,19.46,1,1,0,0,0,0,0,0,0,0
2021-08-12 10:10:00,37,1,1,NA,13.2,44.2333796,-123.1625399,73,70,1,1,1,1,1,0,0,0,0,0,-1.6,19.674,0,0,0,0,0,0,0,0,0,0
2021-08-12 13:40:00,37,2,1,NA,14,44.23122,-123.1629,70,40,1,1,0,0,0,0,0,0,0,0,1.6,20.15,1,1,0,0,0,0,0,0,0,0
2021-08-12 13:50:00,37,2,2,0.4,13.2,44.23122,-123.1629,79,10,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,20.222,0,0,0,0,0,0,0,0,0,0
2021-08-15 04:10:00,37,1,1,NA,12.4,44.2333796,-123.1625399,72,1600,1,1,1,1,1,1,1,1,1,1,2.4,19.46,1,1,1,1,1,1,1,1,1,1
2021-08-15 22:30:00,37,1,1,NA,12.4,44.2333796,-123.1625399,24,1100,1,1,1,1,1,1,1,1,1,1,0,20.269,0,0,0,0,0,0,0,0,0,0
2021-08-17 05:50:00,37,1,1,2.828427125,20.4,44.2333796,-123.1625399,74,310,1,1,1,1,1,1,1,1,1,1,7.2,18.889,1,1,1,1,1,1,1,1,1,1
2021-08-20 04:20:00,37,1,1,0.32,12.4,44.2333796,-123.1625399,75,4230,1,1,1,1,1,1,1,1,1,1,-8,18.485,0,0,0,0,0,0,0,0,0,0
