"date.time","tag.id","receiver.site","antenna.number","temp.sd","temp.strong","lat","long","strength","gap","gap.30","gap.40","gap.50","gap.60","gap.70","gap.80","gap.90","gap.100","gap.110","gap.120","temp.diff","mainstem.temp","foray.30","foray.40","foray.50","foray.60","foray.70","foray.80","foray.90","foray.100","foray.110","foray.120"
2021-07-26 10:40:00,21,2,1,1.13137085,14,44.23122,-123.1629,79,40,1,1,0,0,0,0,0,0,0,0,2.4,19.27,1,1,0,0,0,0,0,0,0,0
2021-07-26 10:50:00,21,2,1,1.011928851,12.4,44.23122,-123.1629,85,10,0,0,0,0,0,0,0,0,0,0,-1.6,19.27,0,0,0,0,0,0,0,0,0,0
2021-07-28 07:50:00,21,1,1,0.565685425,14,44.2333796,-123.1625399,79,30,1,0,0,0,0,0,0,0,0,0,1.6,18.414,1,0,0,0,0,0,0,0,0,0
2021-07-28 08:00:00,21,2,1,0.461880215,13.2,44.23122,-123.1629,83,10,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,18.247,0,0,0,0,0,0,0,0,0,0
2021-07-28 11:10:00,21,1,1,NA,14,44.2333796,-123.1625399,77,170,1,1,1,1,1,1,1,1,1,1,1.6,18.414,1,1,1,1,1,1,1,1,1,1
2021-07-28 12:10:00,21,2,1,0.461880215,12.4,44.23122,-123.1629,102,60,1,1,1,1,0,0,0,0,0,0,-1.6,19.222,0,0,0,0,0,0,0,0,0,0
2021-07-29 11:00:00,21,2,1,1.697056275,13.2,44.23122,-123.1629,77,70,1,1,1,1,1,0,0,0,0,0,1.6,18.723,1,1,1,1,1,0,0,0,0,0
2021-07-29 11:10:00,21,2,1,NA,13.2,44.23122,-123.1629,76,10,0,0,0,0,0,0,0,0,0,0,0,18.771,0,0,0,0,0,0,0,0,0,0
2021-07-30 05:20:00,21,2,2,NA,14,44.23122,-123.1629,84,70,1,1,1,1,1,0,0,0,0,0,1.6,19.08,1,1,1,1,1,0,0,0,0,0
2021-07-30 05:30:00,21,2,1,0.505964426,13.2,44.23122,-123.1629,88,10,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,19.151,0,0,0,0,0,0,0,0,0,0
2021-07-30 08:10:00,21,1,1,0.565685425,14.8,44.2333796,-123.1625399,78,60,1,1,1,1,0,0,0,0,0,0,1.6,18.985,1,1,1,1,0,0,0,0,0,0
2021-07-30 08:20:00,21,1,1,NA,11.6,44.2333796,-123.1625399,47,10,0,0,0,0,0,0,0,0,0,0,-3.2,18.961,0,0,0,0,0,0,0,0,0,0
2021-08-01 15:50:00,21,2,1,0.876356092,16.4,44.23122,-123.1629,109,30,1,0,0,0,0,0,0,0,0,0,3.2,20.103,1,0,0,0,0,0,0,0,0,0
2021-08-01 16:00:00,21,2,1,0.390360029,14,44.23122,-123.1629,116,10,0,0,0,0,0,0,0,0,0,0,-2.4,20.174,0,0,0,0,0,0,0,0,0,0
2021-08-04 18:30:00,21,2,1,1.306394529,18.8,44.23122,-123.1629,115,30,1,0,0,0,0,0,0,0,0,0,3.2,21.199,1,0,0,0,0,0,0,0,0,0
2021-08-04 18:50:00,21,2,1,1.13137085,18,44.23122,-123.1629,100,20,0,0,0,0,0,0,0,0,0,0,-0.800000000000001,21.175,0,0,0,0,0,0,0,0,0,0
